,Model,Resampler,Precision,Recall,F1-Score,ROC AUC
0,Logistic Regression,No Resampling,0.6206896551724138,0.006528835690968444,0.012921751615218953,0.5032421725240798
1,Logistic Regression,SMOTE,0.15190434012400356,0.12441059122234313,0.13678963110667997,0.5583325873848517
2,Logistic Regression,SMOTE RandomUnderSampler,0.10277410832232496,0.28219078708741385,0.15067299312481844,0.6273599187274331
3,Logistic Regression,NearMiss,0.025947111000580288,0.45411679361624957,0.04908937638455959,0.632010205352755
4,Logistic Regression (scaled),No Resampling,0.011336069965531935,0.9746100834240116,0.022411463459389127,0.5133907145116401
5,Logistic Regression (scaled),SMOTE,0.011442343090502812,0.969532100108814,0.022617753201643234,0.5177497947913662
6,Logistic Regression (scaled),SMOTE RandomUnderSampler,0.011343220784684969,0.9778745012694958,0.02242629932787649,0.5137387616987619
7,Logistic Regression (scaled),NearMiss,0.011028,1.0,0.021815419553167667,0.5
8,Logistic Regression (balanced),No Resampling,0.04307400754091241,0.7914399709829525,0.08170142659227918,0.7976888986659645
9,Logistic Regression (balanced),SMOTE,0.08254180602006689,0.4475879579252811,0.13937990625176483,0.6960560854732394
10,Logistic Regression (balanced),SMOTE RandomUnderSampler,0.0826898326898327,0.4660863257163584,0.14046018472973712,0.7042152486199601
11,Logistic Regression (balanced),NearMiss,0.021373730934725752,0.8269858541893362,0.04167047427579274,0.7023787600606166
12,"Logistic Regression (scaled, balanced)",No Resampling,0.011029102910291029,1.0,0.021817577512938606,0.5000505575486465
13,"Logistic Regression (scaled, balanced)",SMOTE,0.01103202133418884,0.9978237214363439,0.021822768342310467,0.5001838886421173
14,"Logistic Regression (scaled, balanced)",SMOTE RandomUnderSampler,0.011088599609351305,0.9945593035908596,0.02193266623473232,0.5027479562570324
15,"Logistic Regression (scaled, balanced)",NearMiss,0.011028,1.0,0.021815419553167667,0.5
16,Decision Tree,No Resampling,0.07734330074755606,0.09756982227058397,0.08628708901363272,0.5422953441910306
17,Decision Tree,SMOTE,0.07802874743326489,0.11026478055857816,0.09138734405531339,0.5478682816897638
18,Decision Tree,SMOTE RandomUnderSampler,0.0548030407740152,0.2876314834965542,0.09206478202821153,0.6161567180347644
19,Decision Tree,NearMiss,0.014976030680728667,0.5665578527384839,0.029180716814407277,0.5755116690555869
20,Decision Tree (balanced),No Resampling,0.0673281360737066,0.06891548784911135,0.06811256497580212,0.529135045203055
21,Decision Tree (balanced),SMOTE,0.07619816908992999,0.10264780558578164,0.08746716118065213,0.5443853848166488
22,Decision Tree (balanced),SMOTE RandomUnderSampler,0.05544787484424754,0.29053318824809576,0.09312329244899145,0.6176722840728027
23,Decision Tree (balanced),NearMiss,0.017350542605792076,0.490025389916576,0.033514425342958495,0.5902782838728377
24,Random Forest,No Resampling,0.75,0.001088139281828074,0.0021731256791017745,0.5005420473389682
25,Random Forest,SMOTE,0.3375,0.01958650707290533,0.03702434007541995,0.5095788895301915
26,Random Forest,SMOTE RandomUnderSampler,0.17633711507293354,0.1973159231048241,0.1862375898664841,0.5935192923079844
27,Random Forest,NearMiss,0.01716527709661599,0.5204932898077621,0.033234517578396405,0.5940862278243277
28,Random Forest (balanced),No Resampling,0.5,0.001088139281828074,0.002171552660152009,0.5005380027350764
29,Random Forest (balanced),SMOTE,0.26108374384236455,0.01922379397896264,0.03581081081081081,0.5093085516976024
30,Random Forest (balanced),SMOTE RandomUnderSampler,0.17073170731707318,0.19042437431991294,0.1800411522633745,0.5900553171980163
31,Random Forest (balanced),NearMiss,0.030427150380339378,0.41494377947043887,0.05669681576012885,0.633750894600878
32,Gradient Boosting,No Resampling,0.5302013422818792,0.028654334421472614,0.05437026841018582,0.5141856060745262
33,Gradient Boosting,SMOTE,0.31422018348623854,0.04969169387014871,0.08581271531475101,0.5242411786532625
34,Gradient Boosting,SMOTE RandomUnderSampler,0.15018695471541338,0.2622415669205658,0.19099194294016641,0.622847546199774
35,Gradient Boosting,NearMiss,0.019078225827020685,0.5426187885382663,0.03686045508864003,0.6157579731975558
