,Model,Scaler,Resampler,precision,recall,f1_score,roc_auc
0,Logistic Regression,StandardScaler,No Resampling,0.0454583004704941,0.7721320743468134,0.08552860497983106,0.7921658758550731
1,Logistic Regression,StandardScaler,SMOTE,0.048094699404731406,0.7504613474280616,0.08987610137876989,0.7882035369981503
2,Logistic Regression,StandardScaler,NearMiss,0.009822935985137882,0.7738770165062097,0.019398455258389263,0.4532296602782592
3,Logistic Regression,MinMaxScaler,No Resampling,0.04549169198433767,0.7725854246201351,0.08559081845213577,0.7924137851999953
4,Logistic Regression,MinMaxScaler,SMOTE,0.0468414545180883,0.7562641569169222,0.08768384087320974,0.7880258193832512
5,Logistic Regression,MinMaxScaler,NearMiss,0.009750919185632576,0.7789521877049399,0.01926005895133607,0.449270586396415
6,Logistic Regression,RobustScaler,No Resampling,0.04546623465720635,0.7726760453350273,0.08554539786926406,0.7923908427543015
7,Logistic Regression,RobustScaler,SMOTE,0.04837476087839108,0.7497359705441561,0.09047255098163201,0.7887924186216101
8,Logistic Regression,RobustScaler,NearMiss,0.009970771796108995,0.7815848757151698,0.019688681477520197,0.45952805696805255
9,Decision Tree,StandardScaler,No Resampling,0.05393834445607698,0.07479897126575018,0.058709904935328204,0.5298016196126498
10,Decision Tree,StandardScaler,SMOTE,0.053249673599389515,0.1758933685290375,0.07448539459580678,0.5681145005557713
11,Decision Tree,StandardScaler,NearMiss,0.01039240358162265,0.8287314127827015,0.020575864376859283,0.476598221122703
12,Decision Tree,MinMaxScaler,No Resampling,0.05324065436569494,0.07824416197424874,0.059870104638765874,0.5287350771413036
13,Decision Tree,MinMaxScaler,SMOTE,0.04065915476087453,0.16782224524744924,0.06339544243045436,0.5613235299077426
14,Decision Tree,MinMaxScaler,NearMiss,0.010340365739932167,0.8301811797550691,0.020248343868648162,0.4721009042171083
15,Decision Tree,RobustScaler,No Resampling,0.05385729227625323,0.07552430703317894,0.06038183070730944,0.5288934502242687
16,Decision Tree,RobustScaler,SMOTE,0.05206349755823775,0.16428824294903818,0.07002538622371354,0.5613261894211437
17,Decision Tree,RobustScaler,NearMiss,0.010442882530292914,0.8414227123306258,0.020644256635918578,0.4778940566210962
18,Random Forest,StandardScaler,No Resampling,0.10482560917343527,0.002357207615593835,0.004605661854306024,0.501669994839086
19,Random Forest,StandardScaler,SMOTE,0.23939609469302706,0.07162301124741224,0.08817175642716199,0.5317910459215772
20,Random Forest,StandardScaler,NearMiss,0.010501929092733182,0.8985466558941496,0.020740481662770316,0.47762662700843894
21,Random Forest,MinMaxScaler,No Resampling,0.2817014925373134,0.002629193109700816,0.006959996875252292,0.5012288195184544
22,Random Forest,MinMaxScaler,SMOTE,0.13508338410030568,0.05412511332728921,0.07657603356413288,0.5260513743156154
23,Random Forest,MinMaxScaler,NearMiss,0.010488237227735743,0.9047111259130428,0.02076910942037972,0.47729147651849574
24,Random Forest,RobustScaler,No Resampling,0.16484848484848486,0.002447869446962829,0.004595008449249522,0.5011487747937722
25,Random Forest,RobustScaler,SMOTE,0.20592921743581666,0.04596575408646384,0.0709546828407563,0.5231512635425115
26,Random Forest,RobustScaler,NearMiss,0.010544021807028686,0.9141405320060935,0.020876187089362112,0.4801718146051723
27,XGBoost,StandardScaler,No Resampling,0.25058931034938514,0.13871556238089072,0.09793609127839381,0.5626280525668484
28,XGBoost,StandardScaler,SMOTE,0.147454840960699,0.26301280983835057,0.11423690221741031,0.6137823718427902
29,XGBoost,StandardScaler,NearMiss,0.010483789692480571,0.9090637983812442,0.02072829763878158,0.47690061529480143
30,XGBoost,MinMaxScaler,No Resampling,0.24812609439973018,0.13563281341548405,0.09710061864649691,0.561384968262733
31,XGBoost,MinMaxScaler,SMOTE,0.1362199831851901,0.26881504369653575,0.1158700682309121,0.6155091852641581
32,XGBoost,MinMaxScaler,NearMiss,0.010506707043346804,0.9145035493798608,0.020774613892768957,0.4775880713189803
33,XGBoost,RobustScaler,No Resampling,0.25014324511155156,0.1395318066785493,0.09876714729874214,0.5628602341161436
34,XGBoost,RobustScaler,SMOTE,0.16723120249165707,0.21668465512527163,0.13213032539105504,0.6008018007927262
35,XGBoost,RobustScaler,NearMiss,0.010517836222754148,0.911874315153683,0.020795457235341562,0.47825481214318033
36,LightGBM,StandardScaler,No Resampling,0.20867533801826013,0.1474188103769764,0.09142412871990742,0.5660377876336221
37,LightGBM,StandardScaler,SMOTE,0.21165674165907417,0.2094294472095275,0.11952304258119906,0.5927277320785882
38,LightGBM,StandardScaler,NearMiss,0.010491575302068418,0.9135066803995698,0.020744669241456615,0.47711491994846555
39,LightGBM,MinMaxScaler,No Resampling,0.20988844117443523,0.14914142628946409,0.09279402528349548,0.5663930135351367
40,LightGBM,MinMaxScaler,SMOTE,0.1861161888935281,0.20027334233784172,0.1118938098602126,0.5933914214580287
41,LightGBM,MinMaxScaler,NearMiss,0.010535723734314346,0.9177673341926678,0.020832153404956373,0.47881348230309334
42,LightGBM,RobustScaler,No Resampling,0.2164298312500687,0.14206939227791449,0.0901384059819398,0.5632837030031812
43,LightGBM,RobustScaler,SMOTE,0.17993718760279018,0.18005600064141705,0.12780387049065253,0.5797452508006706
44,LightGBM,RobustScaler,NearMiss,0.010499714702143925,0.9153196703280889,0.02076089456996128,0.47741219630583576
